Kernel,Metric,Configuration,Value
_Z12blend_kernelPfbS_S_,flop_count_sp_mul,./heat_globalmem.out_flop_count_sp_mul_heat_globalmem.out,8388608
_Z14float_to_colorPhPKf,flop_count_sp_mul,./heat_globalmem.out_flop_count_sp_mul_heat_globalmem.out,29360117
_Z17copy_const_kernelPfS_,flop_count_sp_mul,./heat_globalmem.out_flop_count_sp_mul_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,shared_load_transactions_per_request,./heat_globalmem.out_shared_load_transactions_per_request_heat_globalmem.out,0
_Z14float_to_colorPhPKf,shared_load_transactions_per_request,./heat_globalmem.out_shared_load_transactions_per_request_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,shared_load_transactions_per_request,./heat_globalmem.out_shared_load_transactions_per_request_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,sysmem_write_utilization,./heat_globalmem.out_sysmem_write_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,sysmem_write_utilization,./heat_globalmem.out_sysmem_write_utilization_heat_globalmem.out,1
_Z17copy_const_kernelPfS_,sysmem_write_utilization,./heat_globalmem.out_sysmem_write_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,inst_control,./heat_globalmem.out_inst_control_heat_globalmem.out,67108864
_Z14float_to_colorPhPKf,inst_control,./heat_globalmem.out_inst_control_heat_globalmem.out,285907536
_Z17copy_const_kernelPfS_,inst_control,./heat_globalmem.out_inst_control_heat_globalmem.out,12582912
_Z12blend_kernelPfbS_S_,l2_write_transactions,./heat_globalmem.out_l2_write_transactions_heat_globalmem.out,622872
_Z14float_to_colorPhPKf,l2_write_transactions,./heat_globalmem.out_l2_write_transactions_heat_globalmem.out,16201628
_Z17copy_const_kernelPfS_,l2_write_transactions,./heat_globalmem.out_l2_write_transactions_heat_globalmem.out,28496
_Z12blend_kernelPfbS_S_,gst_requested_throughput,./heat_globalmem.out_gst_requested_throughput_heat_globalmem.out,42524778976
_Z14float_to_colorPhPKf,gst_requested_throughput,./heat_globalmem.out_gst_requested_throughput_heat_globalmem.out,16392676592
_Z17copy_const_kernelPfS_,gst_requested_throughput,./heat_globalmem.out_gst_requested_throughput_heat_globalmem.out,1034947149
_Z12blend_kernelPfbS_S_,inst_compute_ld_st,./heat_globalmem.out_inst_compute_ld_st_heat_globalmem.out,41943040
_Z14float_to_colorPhPKf,inst_compute_ld_st,./heat_globalmem.out_inst_compute_ld_st_heat_globalmem.out,201326548
_Z17copy_const_kernelPfS_,inst_compute_ld_st,./heat_globalmem.out_inst_compute_ld_st_heat_globalmem.out,12679626
_Z12blend_kernelPfbS_S_,local_store_transactions_per_request,./heat_globalmem.out_local_store_transactions_per_request_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_store_transactions_per_request,./heat_globalmem.out_local_store_transactions_per_request_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_store_transactions_per_request,./heat_globalmem.out_local_store_transactions_per_request_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,sysmem_utilization,./heat_globalmem.out_sysmem_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,sysmem_utilization,./heat_globalmem.out_sysmem_utilization_heat_globalmem.out,1
_Z17copy_const_kernelPfS_,sysmem_utilization,./heat_globalmem.out_sysmem_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,issue_slot_utilization,./heat_globalmem.out_issue_slot_utilization_heat_globalmem.out,34.1623
_Z14float_to_colorPhPKf,issue_slot_utilization,./heat_globalmem.out_issue_slot_utilization_heat_globalmem.out,44.0873
_Z17copy_const_kernelPfS_,issue_slot_utilization,./heat_globalmem.out_issue_slot_utilization_heat_globalmem.out,10.9004
_Z12blend_kernelPfbS_S_,inst_integer,./heat_globalmem.out_inst_integer_heat_globalmem.out,197140480
_Z14float_to_colorPhPKf,inst_integer,./heat_globalmem.out_inst_integer_heat_globalmem.out,418895748
_Z17copy_const_kernelPfS_,inst_integer,./heat_globalmem.out_inst_integer_heat_globalmem.out,50815218
_Z12blend_kernelPfbS_S_,sysmem_read_transactions,./heat_globalmem.out_sysmem_read_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,sysmem_read_transactions,./heat_globalmem.out_sysmem_read_transactions_heat_globalmem.out,1624
_Z17copy_const_kernelPfS_,sysmem_read_transactions,./heat_globalmem.out_sysmem_read_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,inst_executed,./heat_globalmem.out_inst_executed_heat_globalmem.out,66334720
_Z14float_to_colorPhPKf,inst_executed,./heat_globalmem.out_inst_executed_heat_globalmem.out,36243391
_Z17copy_const_kernelPfS_,inst_executed,./heat_globalmem.out_inst_executed_heat_globalmem.out,16888890
_Z12blend_kernelPfbS_S_,flop_count_sp_fma,./heat_globalmem.out_flop_count_sp_fma_heat_globalmem.out,0
_Z14float_to_colorPhPKf,flop_count_sp_fma,./heat_globalmem.out_flop_count_sp_fma_heat_globalmem.out,2810098
_Z17copy_const_kernelPfS_,flop_count_sp_fma,./heat_globalmem.out_flop_count_sp_fma_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,local_load_transactions_per_request,./heat_globalmem.out_local_load_transactions_per_request_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_load_transactions_per_request,./heat_globalmem.out_local_load_transactions_per_request_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_load_transactions_per_request,./heat_globalmem.out_local_load_transactions_per_request_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,dram_write_transactions,./heat_globalmem.out_dram_write_transactions_heat_globalmem.out,584646
_Z14float_to_colorPhPKf,dram_write_transactions,./heat_globalmem.out_dram_write_transactions_heat_globalmem.out,7223111
_Z17copy_const_kernelPfS_,dram_write_transactions,./heat_globalmem.out_dram_write_transactions_heat_globalmem.out,152744
_Z12blend_kernelPfbS_S_,local_load_transactions,./heat_globalmem.out_local_load_transactions_heat_globalmem.out,0
_Z14float_to_colorPhPKf,local_load_transactions,./heat_globalmem.out_local_load_transactions_heat_globalmem.out,0
_Z17copy_const_kernelPfS_,local_load_transactions,./heat_globalmem.out_local_load_transactions_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,sysmem_read_utilization,./heat_globalmem.out_sysmem_read_utilization_heat_globalmem.out,0
_Z14float_to_colorPhPKf,sysmem_read_utilization,./heat_globalmem.out_sysmem_read_utilization_heat_globalmem.out,1
_Z17copy_const_kernelPfS_,sysmem_read_utilization,./heat_globalmem.out_sysmem_read_utilization_heat_globalmem.out,0
_Z12blend_kernelPfbS_S_,dram_utilization,./heat_globalmem.out_dram_utilization_heat_globalmem.out,2
_Z14float_to_colorPhPKf,dram_utilization,./heat_globalmem.out_dram_utilization_heat_globalmem.out,9
_Z17copy_const_kernelPfS_,dram_utilization,./heat_globalmem.out_dram_utilization_heat_globalmem.out,1
_Z12blend_kernelPfbS_S_,tex_utilization,./heat_globalmem.out_tex_utilization_heat_globalmem.out,1
_Z14float_to_colorPhPKf,tex_utilization,./heat_globalmem.out_tex_utilization_heat_globalmem.out,2
